t_seconds,rms_linear,peak_abs,clip_flag
0.046440,45.625893,128.0,0
0.092880,78.419983,244.0,0
0.139320,62.488400,180.0,0
0.185760,62.594730,190.0,0
0.232200,62.230816,171.0,0
0.278639,61.601032,175.0,0
0.325079,58.647476,184.0,0
0.371519,71.091438,201.0,0
0.417959,48.364998,149.0,0
0.464399,84.426704,267.0,0
0.510839,58.827583,202.0,0
0.557279,53.380165,143.0,0
0.603719,61.096275,167.0,0
0.650159,56.271473,155.0,0
0.696599,57.026257,138.0,0
0.743039,59.222431,163.0,0
0.789478,54.338875,197.0,0
0.835918,78.679970,207.0,0
0.882358,66.779732,211.0,0
0.928798,55.199688,153.0,0
0.975238,53.705090,135.0,0
1.021678,75.299133,197.0,0
1.068118,55.986824,149.0,0
1.114558,64.396454,204.0,0
1.160998,57.249096,173.0,0
1.207438,61.604485,142.0,0
1.253878,56.423763,174.0,0
1.300317,67.020218,175.0,0
1.346757,71.857857,203.0,0
1.393197,58.233170,159.0,0
1.439637,73.044777,193.0,0
1.486077,67.721230,175.0,0
1.532517,59.460827,159.0,0
1.578957,66.556824,183.0,0
1.625397,67.566170,185.0,0
1.671837,53.782085,142.0,0
1.718277,67.537117,212.0,0
1.764717,72.676956,165.0,0
1.811156,71.615234,211.0,0
1.857596,65.693306,168.0,0
1.904036,66.624771,210.0,0
1.950476,80.450729,255.0,0
1.996916,65.697922,159.0,0
2.043356,59.308247,143.0,0
2.089796,69.842354,214.0,0
2.136236,62.893520,148.0,0
2.182676,62.165783,166.0,0
2.229116,66.760963,195.0,0
2.275556,65.202629,201.0,0
2.321995,42.639660,116.0,0
2.368435,54.128567,162.0,0
2.414875,63.469181,166.0,0
2.461315,54.996334,155.0,0
2.507755,61.425621,161.0,0
2.554195,48.346989,155.0,0
2.600635,75.431969,220.0,0
2.647075,64.481209,155.0,0
2.693515,66.422195,179.0,0
2.739955,64.003296,165.0,0
2.786395,58.870251,154.0,0
2.832834,66.018837,149.0,0
2.879274,58.663193,171.0,0
2.925714,52.129272,145.0,0
2.972154,56.675034,183.0,0
3.018594,63.205982,159.0,0
3.065034,54.947968,162.0,0
3.111474,67.400314,199.0,0
3.157914,86.543083,208.0,0
3.204354,61.034435,193.0,0
3.250794,54.687824,132.0,0
3.297234,54.811390,182.0,0
3.343673,70.884491,173.0,0
3.390113,74.033638,216.0,0
3.436553,74.159821,203.0,0
3.482993,62.944904,214.0,0
3.529433,64.179665,170.0,0
3.575873,64.201248,165.0,0
3.622313,68.390999,160.0,0
3.668753,66.834663,206.0,0
3.715193,66.202751,161.0,0
3.761633,84.678993,266.0,0
3.808073,68.275742,203.0,0
3.854512,80.748817,237.0,0
3.900952,55.891129,160.0,0
3.947392,65.091652,154.0,0
3.993832,66.343018,196.0,0
4.040272,81.231377,203.0,0
4.086712,60.768818,203.0,0
4.133152,91.469315,218.0,0
4.179592,53.470558,166.0,0
4.226032,60.213810,168.0,0
4.272472,70.629356,201.0,0
4.318912,75.138039,162.0,0
4.365351,60.576969,171.0,0
4.411791,76.819550,200.0,0
4.458231,63.159264,178.0,0
4.504671,59.689182,168.0,0
4.551111,89.271317,271.0,0
4.597551,90.412338,253.0,0
4.643991,74.887840,208.0,0
4.690431,67.131851,227.0,0
4.736871,77.750870,215.0,0
4.783311,77.011414,186.0,0
4.829751,73.022919,167.0,0
4.876190,62.244755,209.0,0
4.922630,91.462105,252.0,0
4.969070,82.335136,216.0,0
5.015510,61.585350,182.0,0
5.061950,73.698097,182.0,0
5.108390,90.236908,218.0,0
5.154830,82.705299,247.0,0
5.201270,76.955910,192.0,0
5.247710,86.150215,204.0,0
5.294150,68.292587,176.0,0
5.340590,74.900734,183.0,0
5.387029,70.316368,184.0,0
5.433469,72.175117,201.0,0
5.479909,89.091461,196.0,0
5.526349,68.670273,197.0,0
5.572789,72.783653,200.0,0
5.619229,73.635452,186.0,0
5.665669,55.074699,164.0,0
5.712109,61.866905,159.0,0
5.758549,63.253181,165.0,0
5.804989,1262.252808,4230.0,0
5.851429,2062.477295,5596.0,0
5.897868,1770.443970,4212.0,0
5.944308,1794.291016,4899.0,0
5.990748,1258.319458,3953.0,0
6.037188,530.658081,1617.0,0
6.083628,261.751648,962.0,0
6.130068,152.981735,449.0,0
6.176508,104.583900,353.0,0
6.222948,113.095924,370.0,0
