t_seconds,rms_linear,peak_abs,clip_flag
0.046440,78.764236,199.0,0
0.092880,64.534096,155.0,0
0.139320,84.418427,234.0,0
0.185760,65.788963,170.0,0
0.232200,77.939140,223.0,0
0.278639,70.034668,240.0,0
0.325079,66.264694,144.0,0
0.371519,77.218246,220.0,0
0.417959,69.665703,171.0,0
0.464399,86.025879,214.0,0
0.510839,68.853195,198.0,0
0.557279,85.368263,222.0,0
0.603719,63.593018,158.0,0
0.650159,72.768204,225.0,0
0.696599,73.178032,198.0,0
0.743039,90.098259,226.0,0
0.789478,77.363007,183.0,0
0.835918,78.670128,205.0,0
0.882358,71.878082,189.0,0
0.928798,83.045677,226.0,0
0.975238,59.173107,152.0,0
1.021678,76.886024,186.0,0
1.068118,83.725922,220.0,0
1.114558,71.138329,208.0,0
1.160998,71.794350,232.0,0
1.207438,81.221176,192.0,0
1.253878,67.817780,196.0,0
1.300317,68.804703,184.0,0
1.346757,68.135056,193.0,0
1.393197,67.371620,174.0,0
1.439637,68.658333,162.0,0
1.486077,70.262451,188.0,0
1.532517,68.717567,169.0,0
1.578957,82.224960,195.0,0
1.625397,63.645233,136.0,0
1.671837,64.651581,159.0,0
1.718277,75.602905,177.0,0
1.764717,915.763245,3480.0,0
1.811156,1781.591675,5209.0,0
1.857596,2479.288574,6900.0,0
1.904036,2868.698975,6999.0,0
1.950476,2083.971436,7176.0,0
1.996916,577.355530,1813.0,0
2.043356,321.742828,987.0,0
2.089796,209.560028,712.0,0
2.136236,143.706985,405.0,0
2.182676,124.113358,436.0,0
2.229116,143.052963,357.0,0
2.275556,110.239738,348.0,0
2.321995,139.197937,422.0,0
2.368435,138.432953,442.0,0
2.414875,92.688393,322.0,0
2.461315,87.223816,223.0,0
2.507755,78.715805,245.0,0
2.554195,78.980171,210.0,0
2.600635,69.589348,191.0,0
2.647075,69.003441,182.0,0
2.693515,85.792831,240.0,0
2.739955,68.493698,172.0,0
2.786395,69.043480,178.0,0
2.832834,66.648636,178.0,0
2.879274,65.908188,177.0,0
2.925714,52.411171,181.0,0
2.972154,60.125198,196.0,0
3.018594,44.600807,143.0,0
3.065034,72.828087,191.0,0
3.111474,46.530369,156.0,0
3.157914,56.285576,149.0,0
3.204354,60.818882,161.0,0
3.250794,67.703415,173.0,0
3.297234,48.453732,137.0,0
3.343673,55.902309,157.0,0
3.390113,58.457226,144.0,0
3.436553,51.904800,184.0,0
3.482993,44.971844,151.0,0
3.529433,67.411911,195.0,0
3.575873,62.472973,149.0,0
3.622313,44.402378,99.0,0
3.668753,48.182636,127.0,0
3.715193,62.588764,149.0,0
3.761633,46.992405,140.0,0
3.808073,43.887825,107.0,0
3.854512,60.687691,175.0,0
3.900952,46.310635,125.0,0
3.947392,35.136730,96.0,0
3.993832,51.044456,141.0,0
4.040272,54.740749,156.0,0
4.086712,34.981705,115.0,0
4.133152,39.990398,96.0,0
4.179592,49.339397,133.0,0
4.226032,53.032623,126.0,0
4.272472,50.637383,150.0,0
4.318912,45.053364,121.0,0
4.365351,48.058834,119.0,0
4.411791,52.042103,123.0,0
4.458231,41.274914,123.0,0
4.504671,53.001930,152.0,0
4.551111,49.212193,109.0,0
4.597551,56.051029,158.0,0
4.643991,41.336521,115.0,0
4.690431,61.063580,180.0,0
4.736871,63.468853,197.0,0
4.783311,41.927212,114.0,0
4.829751,60.440353,176.0,0
4.876190,49.060097,124.0,0
4.922630,55.284718,148.0,0
4.969070,59.595604,162.0,0
5.015510,42.756493,123.0,0
5.061950,51.420551,128.0,0
5.108390,49.420357,113.0,0
5.154830,39.973007,118.0,0
5.201270,49.258160,167.0,0
5.247710,51.859631,116.0,0
5.294150,42.869427,105.0,0
5.340590,46.382084,135.0,0
5.387029,42.374119,111.0,0
5.433469,44.528065,125.0,0
5.479909,42.042809,113.0,0
5.526349,39.933342,113.0,0
5.572789,53.999302,144.0,0
5.619229,59.053303,157.0,0
5.665669,43.025974,132.0,0
5.712109,56.693451,170.0,0
5.758549,49.317474,140.0,0
