t_seconds,rms_linear,peak_abs,clip_flag
0.046440,41.652351,118.0,0
0.092880,42.519550,108.0,0
0.139320,39.921192,116.0,0
0.185760,40.619938,129.0,0
0.232200,30.508043,90.0,0
0.278639,42.079456,125.0,0
0.325079,40.659462,112.0,0
0.371519,37.952877,109.0,0
0.417959,38.475780,108.0,0
0.464399,35.924721,128.0,0
0.510839,38.826790,130.0,0
0.557279,38.066475,92.0,0
0.603719,30.768145,85.0,0
0.650159,33.396214,95.0,0
0.696599,34.814617,100.0,0
0.743039,36.038315,93.0,0
0.789478,37.442333,94.0,0
0.835918,37.302887,102.0,0
0.882358,28.280464,94.0,0
0.928798,34.387482,98.0,0
0.975238,36.794987,89.0,0
1.021678,22.868948,61.0,0
1.068118,31.437616,101.0,0
1.114558,36.596878,93.0,0
1.160998,36.707161,101.0,0
1.207438,37.669258,107.0,0
1.253878,45.115116,131.0,0
1.300317,37.684799,107.0,0
1.346757,33.244053,96.0,0
1.393197,31.778738,98.0,0
1.439637,39.856571,110.0,0
1.486077,37.864845,111.0,0
1.532517,32.024239,91.0,0
1.578957,34.526443,92.0,0
1.625397,32.087170,91.0,0
1.671837,35.967766,104.0,0
1.718277,43.252369,128.0,0
1.764717,33.498310,124.0,0
1.811156,273.826019,1870.0,0
1.857596,1337.325928,3816.0,0
1.904036,2479.798096,6877.0,0
1.950476,1900.747437,5181.0,0
1.996916,1965.560547,5567.0,0
2.043356,1743.517822,4019.0,0
2.089796,1376.451782,3624.0,0
2.136236,765.340393,2251.0,0
2.182676,429.903137,1311.0,0
2.229116,191.831665,554.0,0
2.275556,181.193802,575.0,0
2.321995,133.037308,388.0,0
2.368435,99.508278,263.0,0
2.414875,77.609871,238.0,0
2.461315,69.610909,227.0,0
2.507755,52.921238,172.0,0
2.554195,58.762302,218.0,0
2.600635,69.776054,180.0,0
2.647075,55.828152,176.0,0
2.693515,52.604977,149.0,0
2.739955,51.613346,150.0,0
2.786395,56.165451,162.0,0
2.832834,56.085651,164.0,0
2.879274,49.750965,168.0,0
2.925714,46.735725,147.0,0
2.972154,42.617599,154.0,0
3.018594,33.474110,95.0,0
3.065034,38.845982,115.0,0
3.111474,44.323193,130.0,0
3.157914,29.250860,76.0,0
3.204354,36.064152,102.0,0
3.250794,34.085220,120.0,0
3.297234,38.117771,109.0,0
3.343673,37.348881,108.0,0
3.390113,29.263618,72.0,0
3.436553,31.518045,98.0,0
3.482993,36.556137,127.0,0
3.529433,31.148884,84.0,0
3.575873,30.669762,80.0,0
3.622313,32.074116,102.0,0
3.668753,32.364132,102.0,0
3.715193,31.470015,94.0,0
3.761633,36.104523,124.0,0
3.808073,38.303188,125.0,0
3.854512,31.934740,102.0,0
3.900952,29.696405,91.0,0
3.947392,27.738789,80.0,0
3.993832,28.853693,80.0,0
4.040272,32.433788,101.0,0
4.086712,41.036270,135.0,0
4.133152,33.976147,108.0,0
4.179592,38.570370,111.0,0
4.226032,30.305387,100.0,0
4.272472,28.145235,86.0,0
4.318912,39.040569,116.0,0
4.365351,33.737591,103.0,0
4.411791,33.268784,88.0,0
4.458231,31.112518,82.0,0
4.504671,29.817339,96.0,0
4.551111,35.326946,113.0,0
4.597551,42.463207,127.0,0
4.643991,32.074726,90.0,0
4.690431,38.005974,108.0,0
4.736871,30.111179,94.0,0
4.783311,28.875305,97.0,0
4.829751,32.214142,95.0,0
4.876190,38.968254,131.0,0
4.922630,29.106033,86.0,0
4.969070,34.824791,145.0,0
5.015510,37.453781,117.0,0
5.061950,37.846157,95.0,0
5.108390,31.207205,110.0,0
5.154830,29.592281,76.0,0
5.201270,28.861088,85.0,0
5.247710,34.365261,99.0,0
5.294150,23.710060,65.0,0
