t_seconds,rms_linear,peak_abs,clip_flag
0.046440,90.933777,233.0,0
0.092880,96.532661,223.0,0
0.139320,83.927002,232.0,0
0.185760,81.537338,215.0,0
0.232200,75.778931,185.0,0
0.278639,68.753181,213.0,0
0.325079,72.083389,226.0,0
0.371519,72.785019,189.0,0
0.417959,82.588074,232.0,0
0.464399,75.803169,225.0,0
0.510839,62.948254,172.0,0
0.557279,74.088928,234.0,0
0.603719,67.674675,163.0,0
0.650159,73.935593,197.0,0
0.696599,77.762566,251.0,0
0.743039,66.425682,157.0,0
0.789478,65.917450,183.0,0
0.835918,84.400383,225.0,0
0.882358,88.714752,244.0,0
0.928798,88.447578,254.0,0
0.975238,96.170860,215.0,0
1.021678,81.763130,178.0,0
1.068118,76.085831,222.0,0
1.114558,78.436447,224.0,0
1.160998,72.730919,218.0,0
1.207438,93.990974,275.0,0
1.253878,102.376282,260.0,0
1.300317,73.588203,197.0,0
1.346757,89.750732,221.0,0
1.393197,70.868767,189.0,0
1.439637,72.808090,179.0,0
1.486077,83.092606,202.0,0
1.532517,62.356747,169.0,0
1.578957,72.812729,207.0,0
1.625397,73.101700,173.0,0
1.671837,80.392212,211.0,0
1.718277,92.466354,220.0,0
1.764717,91.503540,234.0,0
1.811156,74.871170,213.0,0
1.857596,65.204552,191.0,0
1.904036,63.600861,194.0,0
1.950476,57.218979,166.0,0
1.996916,65.196686,182.0,0
2.043356,53.313446,153.0,0
2.089796,75.455544,208.0,0
2.136236,81.469719,237.0,0
2.182676,83.730766,236.0,0
2.229116,80.701965,200.0,0
2.275556,67.625465,192.0,0
2.321995,96.751427,289.0,0
2.368435,77.771095,223.0,0
2.414875,80.341331,235.0,0
2.461315,79.707947,211.0,0
2.507755,81.137581,266.0,0
2.554195,63.894188,198.0,0
2.600635,88.335907,254.0,0
2.647075,85.593521,259.0,0
2.693515,58.428894,155.0,0
2.739955,58.132431,171.0,0
2.786395,72.094185,223.0,0
2.832834,73.377975,210.0,0
2.879274,71.071228,198.0,0
2.925714,74.885536,193.0,0
2.972154,69.625183,217.0,0
3.018594,69.643768,206.0,0
3.065034,69.663742,214.0,0
3.111474,86.817062,232.0,0
3.157914,88.163742,212.0,0
3.204354,82.858124,215.0,0
3.250794,59.864937,140.0,0
3.297234,66.174889,163.0,0
3.343673,55.571400,152.0,0
3.390113,68.500267,215.0,0
3.436553,63.483532,171.0,0
