t_seconds,rms_linear,peak_abs,clip_flag
0.046440,69.579323,207.0,0
0.092880,70.615730,197.0,0
0.139320,74.545708,224.0,0
0.185760,72.349457,227.0,0
0.232200,63.923248,171.0,0
0.278639,66.136368,184.0,0
0.325079,66.832451,183.0,0
0.371519,68.839249,182.0,0
0.417959,69.345535,209.0,0
0.464399,67.469788,165.0,0
0.510839,73.063622,229.0,0
0.557279,73.501564,194.0,0
0.603719,60.924274,200.0,0
0.650159,69.304382,188.0,0
0.696599,74.696609,186.0,0
0.743039,76.051605,249.0,0
0.789478,63.649246,165.0,0
0.835918,86.719887,255.0,0
0.882358,67.432243,216.0,0
0.928798,60.105816,194.0,0
0.975238,66.136894,209.0,0
1.021678,64.195679,175.0,0
1.068118,60.571808,176.0,0
1.114558,62.512100,183.0,0
1.160998,68.272804,204.0,0
1.207438,80.984520,208.0,0
1.253878,71.296921,203.0,0
1.300317,58.025078,173.0,0
1.346757,69.809105,197.0,0
1.393197,67.181343,215.0,0
1.439637,67.039558,188.0,0
1.486077,99.426094,223.0,0
1.532517,86.553062,226.0,0
1.578957,79.456200,255.0,0
1.625397,55.545551,187.0,0
1.671837,56.023067,140.0,0
1.718277,53.674721,179.0,0
1.764717,64.666626,208.0,0
1.811156,56.740910,143.0,0
1.857596,82.653954,224.0,0
1.904036,83.526062,231.0,0
1.950476,67.520004,183.0,0
1.996916,86.544975,245.0,0
2.043356,74.721077,240.0,0
2.089796,62.422882,182.0,0
2.136236,69.365868,175.0,0
2.182676,59.036911,186.0,0
2.229116,58.165874,183.0,0
2.275556,64.749138,189.0,0
2.321995,96.358177,290.0,0
2.368435,92.121788,243.0,0
2.414875,82.912605,221.0,0
2.461315,81.637489,209.0,0
2.507755,76.553848,284.0,0
2.554195,109.381752,341.0,0
2.600635,107.426094,328.0,0
2.647075,112.709557,334.0,0
2.693515,81.959801,202.0,0
2.739955,63.993267,177.0,0
2.786395,95.809280,261.0,0
2.832834,71.641266,245.0,0
2.879274,81.799324,258.0,0
2.925714,105.488541,315.0,0
2.972154,99.032318,248.0,0
3.018594,127.117126,297.0,0
3.065034,75.343529,194.0,0
3.111474,83.224297,228.0,0
3.157914,84.048706,244.0,0
3.204354,61.987980,163.0,0
3.250794,78.964691,219.0,0
3.297234,91.102287,237.0,0
3.343673,108.271683,309.0,0
3.390113,86.571678,259.0,0
3.436553,82.577332,203.0,0
3.482993,88.819046,233.0,0
3.529433,82.530487,223.0,0
3.575873,121.667999,314.0,0
3.622313,105.329979,263.0,0
3.668753,91.430222,238.0,0
3.715193,72.808868,216.0,0
3.761633,83.048660,192.0,0
3.808073,89.557556,316.0,0
3.854512,82.273491,314.0,0
3.900952,73.712555,227.0,0
3.947392,80.909088,211.0,0
3.993832,88.156151,276.0,0
4.040272,74.695236,235.0,0
4.086712,84.538780,266.0,0
4.133152,96.817245,297.0,0
4.179592,90.319084,257.0,0
4.226032,91.502655,246.0,0
4.272472,60.829529,176.0,0
4.318912,70.553574,207.0,0
4.365351,71.782379,184.0,0
4.411791,89.814011,241.0,0
4.458231,79.511307,208.0,0
4.504671,76.168854,244.0,0
4.551111,63.324078,193.0,0
4.597551,108.935905,282.0,0
4.643991,66.499733,165.0,0
4.690431,74.688271,228.0,0
4.736871,86.621986,219.0,0
4.783311,72.452965,207.0,0
4.829751,84.359810,279.0,0
4.876190,62.728268,186.0,0
4.922630,80.165741,230.0,0
4.969070,66.071503,291.0,0
5.015510,63.901363,201.0,0
5.061950,74.078110,218.0,0
5.108390,79.500443,202.0,0
5.154830,91.866753,275.0,0
5.201270,75.614220,194.0,0
5.247710,73.333122,205.0,0
5.294150,79.104179,211.0,0
5.340590,70.893417,199.0,0
5.387029,65.970192,172.0,0
5.433469,101.815063,292.0,0
5.479909,100.302727,247.0,0
5.526349,79.177193,202.0,0
5.572789,102.346786,271.0,0
5.619229,88.253716,264.0,0
5.665669,63.877270,182.0,0
5.712109,68.263412,175.0,0
5.758549,67.854942,178.0,0
5.804989,80.326729,240.0,0
5.851429,68.998375,177.0,0
5.897868,68.489960,180.0,0
5.944308,60.207592,152.0,0
5.990748,87.586113,261.0,0
6.037188,76.259651,244.0,0
6.083628,82.123032,219.0,0
6.130068,85.434685,259.0,0
6.176508,90.323586,218.0,0
6.222948,79.185997,216.0,0
6.269388,81.206886,184.0,0
6.315828,72.498764,222.0,0
6.362268,86.884377,218.0,0
6.408707,77.508156,182.0,0
6.455147,86.368652,218.0,0
6.501587,75.990082,195.0,0
6.548027,1534.540771,7090.0,0
6.594467,2877.599365,8176.0,0
6.640907,2188.619873,7248.0,0
6.687347,1656.432739,3564.0,0
6.733787,1041.866821,3257.0,0
6.780227,519.938721,1115.0,0
6.826667,259.251007,556.0,0
6.873107,206.946609,474.0,0
6.919546,104.601540,301.0,0
6.965986,78.780533,227.0,0
7.012426,85.519875,298.0,0
7.058866,172.143112,507.0,0
7.105306,150.877228,410.0,0
7.151746,123.558601,311.0,0
7.198186,95.135254,254.0,0
7.244626,73.520454,226.0,0
7.291066,72.289513,221.0,0
7.337506,80.357697,235.0,0
7.383946,68.293861,195.0,0
7.430385,70.117661,185.0,0
7.476825,67.580742,180.0,0
7.523265,80.713272,238.0,0
7.569705,73.510429,222.0,0
7.616145,67.092354,171.0,0
7.662585,84.365295,240.0,0
7.709025,65.748238,171.0,0
7.755465,59.244755,167.0,0
7.801905,62.493382,196.0,0
7.848345,62.893806,195.0,0
7.894785,73.938171,198.0,0
7.941224,67.654930,172.0,0
7.987664,82.437721,274.0,0
8.034104,65.521774,170.0,0
8.080544,60.175499,157.0,0
8.126984,68.651115,227.0,0
8.173424,77.093513,231.0,0
8.219864,74.765343,195.0,0
8.266304,80.569016,200.0,0
8.312744,99.238548,247.0,0
8.359184,84.404663,233.0,0
8.405624,83.062447,232.0,0
8.452063,83.055870,214.0,0
8.498503,92.562637,256.0,0
8.544943,89.990105,298.0,0
8.591383,57.607571,177.0,0
8.637823,47.129745,142.0,0
8.684263,58.430973,175.0,0
8.730703,62.841743,214.0,0
8.777143,54.935646,153.0,0
8.823583,59.898834,164.0,0
8.870023,78.999916,203.0,0
8.916463,61.643723,150.0,0
8.962902,75.070961,210.0,0
9.009342,84.393990,203.0,0
9.055782,88.073883,259.0,0
9.102222,86.733276,210.0,0
9.148662,75.815155,192.0,0
9.195102,57.738201,159.0,0
9.241542,80.724785,237.0,0
9.287982,75.834862,198.0,0
9.334422,65.946785,186.0,0
9.380862,55.110592,135.0,0
9.427302,58.854134,174.0,0
9.473741,77.155594,208.0,0
9.520181,80.646637,255.0,0
9.566621,72.743858,198.0,0
9.613061,57.132565,181.0,0
9.659501,67.294991,208.0,0
9.705941,51.398155,183.0,0
9.752381,66.196152,162.0,0
9.798821,54.687557,153.0,0
9.845261,78.660316,181.0,0
9.891701,55.559399,148.0,0
9.938141,42.721512,148.0,0
9.984580,46.617527,124.0,0
10.031020,44.581501,139.0,0
10.077460,55.966938,177.0,0
10.123900,65.581352,157.0,0
10.170340,55.893085,166.0,0
10.216780,62.940392,178.0,0
10.263220,72.613991,233.0,0
10.309660,55.962486,155.0,0
10.356100,54.037685,137.0,0
10.402540,46.255337,152.0,0
10.448980,70.117401,170.0,0
10.495420,76.494316,253.0,0
10.541859,67.754578,216.0,0
10.588299,74.582085,211.0,0
10.634739,61.758049,205.0,0
10.681179,60.252274,168.0,0
10.727619,56.873726,172.0,0
10.774059,63.862404,210.0,0
10.820499,53.998112,135.0,0
10.866939,71.581657,212.0,0
10.913379,76.111732,191.0,0
10.959819,73.650749,183.0,0
11.006259,72.573524,185.0,0
11.052698,71.592117,196.0,0
11.099138,66.941582,165.0,0
11.145578,60.691582,157.0,0
11.192018,48.314144,154.0,0
11.238458,48.361298,136.0,0
11.284898,53.855900,188.0,0
11.331338,54.309925,142.0,0
11.377778,53.906952,152.0,0
11.424218,47.885658,128.0,0
11.470658,51.785545,134.0,0
11.517098,61.330082,176.0,0
11.563537,58.134907,156.0,0
11.609977,52.939110,148.0,0
11.656417,44.084263,120.0,0
11.702857,45.691216,126.0,0
11.749297,46.084103,129.0,0
11.795737,49.178867,154.0,0
11.842177,46.367718,129.0,0
11.888617,58.887733,177.0,0
11.935057,43.413261,129.0,0
11.981497,54.336018,175.0,0
12.027937,83.515656,198.0,0
12.074376,56.114765,151.0,0
12.120816,87.052452,305.0,0
12.167256,68.569016,197.0,0
12.213696,68.471077,208.0,0
12.260136,62.727806,253.0,0
12.306576,58.992832,170.0,0
12.353016,73.017151,196.0,0
