t_seconds,rms_linear,peak_abs,clip_flag
0.046440,86.120674,247.0,0
0.092880,91.903671,253.0,0
0.139320,97.593834,244.0,0
0.185760,150.915970,319.0,0
0.232200,146.722412,360.0,0
0.278639,180.252304,454.0,0
0.325079,155.351227,346.0,0
0.371519,160.859589,340.0,0
0.417959,137.826920,285.0,0
0.464399,119.498283,352.0,0
0.510839,98.428734,252.0,0
0.557279,101.014008,275.0,0
0.603719,130.898010,425.0,0
0.650159,158.512833,416.0,0
0.696599,192.034760,485.0,0
0.743039,173.126633,411.0,0
0.789478,178.520981,393.0,0
0.835918,161.998413,399.0,0
0.882358,160.798218,382.0,0
0.928798,131.944351,309.0,0
0.975238,111.621597,398.0,0
1.021678,113.214951,291.0,0
1.068118,115.472519,308.0,0
1.114558,168.090607,347.0,0
1.160998,188.715256,379.0,0
1.207438,201.293991,409.0,0
1.253878,198.008438,457.0,0
1.300317,174.135010,421.0,0
1.346757,156.727066,329.0,0
1.393197,133.587646,312.0,0
1.439637,110.661568,268.0,0
1.486077,109.644905,286.0,0
1.532517,122.343597,283.0,0
1.578957,135.435349,379.0,0
1.625397,147.841080,339.0,0
1.671837,171.507751,423.0,0
1.718277,189.830368,423.0,0
1.764717,202.802155,390.0,0
1.811156,190.808121,393.0,0
1.857596,183.017807,408.0,0
1.904036,114.460785,262.0,0
1.950476,97.874199,278.0,0
1.996916,99.440857,271.0,0
2.043356,100.235611,270.0,0
2.089796,107.856659,299.0,0
2.136236,132.843536,285.0,0
2.182676,156.157700,349.0,0
2.229116,183.025253,396.0,0
2.275556,125.228813,317.0,0
2.321995,136.610367,286.0,0
2.368435,102.711113,254.0,0
2.414875,99.062660,273.0,0
2.461315,86.329002,238.0,0
2.507755,79.253685,206.0,0
2.554195,108.173004,290.0,0
2.600635,102.793541,247.0,0
2.647075,94.373207,248.0,0
2.693515,130.189743,358.0,0
2.739955,115.880630,333.0,0
2.786395,116.858780,305.0,0
2.832834,88.805328,247.0,0
2.879274,92.000084,260.0,0
2.925714,89.980568,270.0,0
2.972154,111.555763,312.0,0
3.018594,114.862030,349.0,0
3.065034,104.653503,278.0,0
3.111474,99.778038,268.0,0
3.157914,88.599625,251.0,0
3.204354,102.029716,267.0,0
3.250794,90.685127,237.0,0
3.297234,89.778915,242.0,0
3.343673,92.274315,212.0,0
3.390113,91.044655,270.0,0
3.436553,92.010490,269.0,0
3.482993,96.665863,243.0,0
3.529433,112.716545,283.0,0
3.575873,105.549156,278.0,0
3.622313,105.111549,284.0,0
3.668753,84.554474,297.0,0
3.715193,101.069466,254.0,0
3.761633,124.661453,294.0,0
3.808073,136.235703,314.0,0
3.854512,151.604843,366.0,0
3.900952,135.836243,362.0,0
3.947392,132.433670,373.0,0
3.993832,137.892517,368.0,0
4.040272,120.600471,333.0,0
4.086712,99.990685,253.0,0
4.133152,84.187675,285.0,0
4.179592,85.792480,235.0,0
4.226032,126.444138,333.0,0
4.272472,2846.204590,8047.0,0
4.318912,2721.317627,8983.0,0
4.365351,1829.776367,5686.0,0
4.411791,1167.880249,3827.0,0
4.458231,534.418335,1405.0,0
4.504671,421.880188,974.0,0
4.551111,259.580383,742.0,0
