t_seconds,rms_linear,peak_abs,clip_flag
0.046440,36.407597,99.0,0
0.092880,43.032856,116.0,0
0.139320,51.847359,141.0,0
0.185760,46.026943,141.0,0
0.232200,50.749409,139.0,0
0.278639,55.373699,153.0,0
0.325079,46.096218,127.0,0
0.371519,48.963051,130.0,0
0.417959,41.142788,120.0,0
0.464399,48.004871,123.0,0
0.510839,42.897152,134.0,0
0.557279,43.322121,110.0,0
0.603719,41.058945,115.0,0
0.650159,41.267551,157.0,0
0.696599,40.311405,125.0,0
0.743039,50.491318,127.0,0
0.789478,39.509300,103.0,0
0.835918,45.726967,134.0,0
0.882358,42.308270,127.0,0
0.928798,47.901699,127.0,0
0.975238,31.036167,84.0,0
1.021678,37.233624,118.0,0
1.068118,43.102005,146.0,0
1.114558,44.359482,193.0,0
1.160998,35.337589,95.0,0
1.207438,42.839123,150.0,0
1.253878,40.231655,171.0,0
1.300317,45.842861,117.0,0
1.346757,44.069576,125.0,0
1.393197,45.615845,139.0,0
1.439637,36.487518,124.0,0
1.486077,40.313007,134.0,0
1.532517,48.555183,151.0,0
1.578957,38.266415,107.0,0
1.625397,38.742565,118.0,0
1.671837,38.234882,116.0,0
1.718277,42.794601,116.0,0
1.764717,55.706417,172.0,0
1.811156,58.424870,172.0,0
1.857596,50.749725,109.0,0
1.904036,42.837788,127.0,0
1.950476,56.817719,158.0,0
1.996916,41.528809,121.0,0
2.043356,57.656300,198.0,0
2.089796,45.897182,125.0,0
2.136236,43.776131,112.0,0
2.182676,46.373543,144.0,0
2.229116,51.612629,122.0,0
2.275556,49.522091,119.0,0
2.321995,48.751743,121.0,0
2.368435,46.241142,113.0,0
2.414875,39.064281,108.0,0
2.461315,46.037994,128.0,0
2.507755,57.208576,139.0,0
2.554195,49.298340,139.0,0
2.600635,50.286442,152.0,0
2.647075,41.023174,124.0,0
2.693515,57.058334,164.0,0
2.739955,46.057365,126.0,0
2.786395,48.572212,137.0,0
2.832834,63.021152,162.0,0
2.879274,44.142250,157.0,0
2.925714,47.956196,131.0,0
2.972154,53.105827,151.0,0
3.018594,50.562851,152.0,0
3.065034,51.946770,157.0,0
3.111474,41.739689,125.0,0
3.157914,52.495518,134.0,0
3.204354,44.719025,119.0,0
3.250794,40.435524,103.0,0
3.297234,45.168118,127.0,0
3.343673,49.073681,122.0,0
3.390113,41.026371,131.0,0
3.436553,50.092598,139.0,0
3.482993,34.569691,115.0,0
3.529433,47.892002,129.0,0
3.575873,45.719673,111.0,0
3.622313,50.387547,145.0,0
3.668753,47.896175,135.0,0
3.715193,42.967442,138.0,0
3.761633,51.960957,144.0,0
3.808073,41.612301,114.0,0
3.854512,44.320366,118.0,0
3.900952,42.891834,118.0,0
3.947392,47.166134,140.0,0
3.993832,40.496986,121.0,0
4.040272,55.737976,169.0,0
4.086712,45.629543,138.0,0
4.133152,40.328163,128.0,0
4.179592,44.175095,119.0,0
4.226032,42.226181,113.0,0
4.272472,34.990700,102.0,0
4.318912,39.756748,109.0,0
4.365351,45.773949,153.0,0
4.411791,48.597572,137.0,0
4.458231,50.164890,158.0,0
4.504671,36.705742,104.0,0
4.551111,39.554050,110.0,0
4.597551,51.496948,155.0,0
4.643991,54.397011,123.0,0
4.690431,58.134811,165.0,0
4.736871,41.714947,116.0,0
4.783311,57.786396,151.0,0
4.829751,47.860497,125.0,0
4.876190,41.418312,134.0,0
4.922630,47.809017,129.0,0
4.969070,54.840122,172.0,0
5.015510,51.467484,123.0,0
5.061950,41.499966,96.0,0
5.108390,48.882713,111.0,0
5.154830,47.832672,119.0,0
5.201270,46.096691,124.0,0
5.247710,42.368916,117.0,0
5.294150,48.528202,131.0,0
5.340590,50.038738,155.0,0
5.387029,39.740456,132.0,0
5.433469,36.617027,99.0,0
5.479909,42.916763,123.0,0
5.526349,50.758381,143.0,0
5.572789,28.478928,100.0,0
5.619229,33.045113,83.0,0
5.665669,36.449116,118.0,0
5.712109,48.874779,136.0,0
5.758549,33.715370,97.0,0
5.804989,39.240513,100.0,0
5.851429,47.436443,119.0,0
5.897868,41.919518,106.0,0
5.944308,45.772785,135.0,0
5.990748,47.396320,120.0,0
6.037188,39.423874,121.0,0
6.083628,48.645779,135.0,0
6.130068,49.756989,146.0,0
6.176508,40.393360,102.0,0
6.222948,37.851170,93.0,0
6.269388,42.207664,103.0,0
6.315828,35.423126,98.0,0
6.362268,42.106133,109.0,0
6.408707,40.454468,115.0,0
6.455147,42.642769,118.0,0
6.501587,55.099140,138.0,0
6.548027,38.293499,111.0,0
6.594467,47.304241,135.0,0
6.640907,40.087193,105.0,0
