t_seconds,rms_linear,peak_abs,clip_flag
0.046440,58.271679,129.0,0
0.092880,54.851913,160.0,0
0.139320,68.270325,206.0,0
0.185760,73.724068,176.0,0
0.232200,69.013863,163.0,0
0.278639,52.162769,151.0,0
0.325079,56.652874,132.0,0
0.371519,56.502316,150.0,0
0.417959,52.619061,133.0,0
0.464399,63.451019,189.0,0
0.510839,57.170300,144.0,0
0.557279,63.483223,185.0,0
0.603719,53.517654,130.0,0
0.650159,65.887581,162.0,0
0.696599,58.870827,170.0,0
0.743039,58.806473,183.0,0
0.789478,67.328651,206.0,0
0.835918,55.984478,149.0,0
0.882358,66.965538,168.0,0
0.928798,50.648956,135.0,0
0.975238,66.541534,168.0,0
1.021678,55.030167,141.0,0
1.068118,63.016117,146.0,0
1.114558,65.154373,154.0,0
1.160998,58.503372,153.0,0
1.207438,50.859608,164.0,0
1.253878,58.774300,161.0,0
1.300317,47.335514,127.0,0
1.346757,59.538353,175.0,0
1.393197,56.836857,135.0,0
1.439637,51.199989,135.0,0
1.486077,47.700508,121.0,0
1.532517,68.918411,179.0,0
1.578957,57.196606,151.0,0
1.625397,43.363312,154.0,0
1.671837,58.265694,167.0,0
1.718277,47.776463,133.0,0
1.764717,61.125557,170.0,0
1.811156,55.667351,150.0,0
1.857596,38.531059,116.0,0
1.904036,52.682796,136.0,0
1.950476,61.447628,139.0,0
1.996916,1445.578857,4120.0,0
2.043356,2454.817139,7799.0,0
2.089796,2767.629883,7437.0,0
2.136236,2560.379150,7532.0,0
2.182676,2504.451660,7215.0,0
2.229116,877.212830,2708.0,0
2.275556,353.025543,1139.0,0
2.321995,226.415558,642.0,0
2.368435,173.299438,482.0,0
2.414875,140.292191,467.0,0
2.461315,129.685135,346.0,0
2.507755,149.238174,398.0,0
2.554195,132.192871,416.0,0
2.600635,115.470589,348.0,0
2.647075,99.744583,294.0,0
2.693515,80.784981,226.0,0
2.739955,81.513336,221.0,0
2.786395,85.159576,249.0,0
2.832834,73.295593,206.0,0
2.879274,84.936256,248.0,0
2.925714,76.854485,246.0,0
2.972154,85.376717,217.0,0
3.018594,77.791588,201.0,0
3.065034,78.983971,196.0,0
3.111474,83.509712,279.0,0
3.157914,68.868988,201.0,0
3.204354,83.679077,196.0,0
3.250794,62.985958,159.0,0
3.297234,71.302841,203.0,0
3.343673,74.365952,176.0,0
3.390113,88.927696,202.0,0
3.436553,78.876488,188.0,0
3.482993,76.078186,205.0,0
3.529433,78.360153,201.0,0
3.575873,68.891449,167.0,0
3.622313,89.587479,241.0,0
3.668753,64.123756,157.0,0
3.715193,92.373703,223.0,0
3.761633,77.706070,196.0,0
3.808073,67.559608,172.0,0
3.854512,57.369740,155.0,0
3.900952,70.017685,195.0,0
3.947392,68.514961,176.0,0
3.993832,71.032211,188.0,0
4.040272,75.059746,213.0,0
4.086712,68.593956,215.0,0
4.133152,69.654083,178.0,0
4.179592,68.580765,160.0,0
4.226032,72.626793,187.0,0
4.272472,60.920650,169.0,0
4.318912,63.735657,196.0,0
4.365351,81.260361,205.0,0
4.411791,71.641830,184.0,0
4.458231,58.812603,147.0,0
4.504671,68.560959,160.0,0
4.551111,60.020256,177.0,0
4.597551,55.865463,145.0,0
4.643991,71.256424,177.0,0
4.690431,57.958530,159.0,0
4.736871,62.381638,167.0,0
4.783311,64.967781,183.0,0
4.829751,67.288322,161.0,0
4.876190,53.398518,133.0,0
4.922630,68.339668,192.0,0
4.969070,62.911125,163.0,0
5.015510,75.486427,195.0,0
5.061950,76.084663,191.0,0
5.108390,76.856926,211.0,0
5.154830,76.521683,216.0,0
5.201270,84.378296,231.0,0
5.247710,78.779610,217.0,0
5.294150,79.145004,236.0,0
5.340590,75.737129,155.0,0
