t_seconds,rms_linear,peak_abs,clip_flag
0.046440,140.821533,418.0,0
0.092880,147.488800,360.0,0
0.139320,132.415619,377.0,0
0.185760,129.120163,317.0,0
0.232200,298.711212,659.0,0
0.278639,341.981842,836.0,0
0.325079,205.396408,506.0,0
0.371519,154.751389,453.0,0
0.417959,323.263947,730.0,0
0.464399,327.015686,622.0,0
0.510839,174.611343,372.0,0
0.557279,129.156540,426.0,0
0.603719,87.051849,235.0,0
0.650159,116.683769,442.0,0
0.696599,105.697311,328.0,0
0.743039,95.750465,277.0,0
0.789478,93.654015,271.0,0
0.835918,93.197647,253.0,0
0.882358,150.452194,457.0,0
0.928798,183.300018,505.0,0
0.975238,95.795403,289.0,0
1.021678,83.405190,206.0,0
1.068118,62.731842,217.0,0
1.114558,82.915627,245.0,0
1.160998,220.266632,592.0,0
1.207438,213.902634,522.0,0
1.253878,169.674301,432.0,0
1.300317,176.459488,452.0,0
1.346757,405.278107,796.0,0
1.393197,236.582733,604.0,0
1.439637,120.850456,362.0,0
1.486077,168.364334,392.0,0
1.532517,318.183838,732.0,0
1.578957,271.636444,722.0,0
1.625397,222.635666,530.0,0
1.671837,140.172516,387.0,0
1.718277,157.254150,424.0,0
1.764717,116.182129,374.0,0
1.811156,175.556641,445.0,0
1.857596,137.979080,329.0,0
1.904036,104.087044,265.0,0
1.950476,92.640579,331.0,0
1.996916,199.954575,513.0,0
2.043356,159.249496,405.0,0
2.089796,121.477638,418.0,0
2.136236,115.526871,315.0,0
2.182676,102.623680,314.0,0
2.229116,99.368156,277.0,0
2.275556,92.816772,280.0,0
2.321995,96.678986,254.0,0
2.368435,82.258301,278.0,0
2.414875,79.429047,251.0,0
2.461315,127.922226,323.0,0
2.507755,102.631645,328.0,0
2.554195,130.400650,297.0,0
2.600635,116.984459,343.0,0
2.647075,107.432968,285.0,0
2.693515,116.022057,301.0,0
2.739955,97.881027,253.0,0
2.786395,87.760109,259.0,0
2.832834,94.183403,251.0,0
2.879274,82.889145,288.0,0
2.925714,78.191429,253.0,0
2.972154,86.809570,207.0,0
3.018594,82.497002,223.0,0
3.065034,96.933228,347.0,0
3.111474,82.451378,234.0,0
3.157914,88.896240,207.0,0
3.204354,90.536346,214.0,0
3.250794,91.361038,276.0,0
3.297234,90.106422,385.0,0
3.343673,112.522972,283.0,0
3.390113,163.642105,367.0,0
3.436553,96.376389,249.0,0
3.482993,73.420799,246.0,0
3.529433,72.345009,201.0,0
3.575873,85.110146,271.0,0
3.622313,79.040962,241.0,0
3.668753,74.452797,197.0,0
3.715193,83.211861,302.0,0
3.761633,88.968933,246.0,0
3.808073,81.564735,250.0,0
3.854512,75.340080,229.0,0
3.900952,74.259026,192.0,0
3.947392,71.259720,206.0,0
3.993832,82.610046,217.0,0
4.040272,71.058060,186.0,0
4.086712,77.568687,234.0,0
4.133152,82.894524,215.0,0
4.179592,86.234367,236.0,0
4.226032,90.068169,263.0,0
4.272472,75.191246,213.0,0
4.318912,97.351799,301.0,0
4.365351,70.473526,204.0,0
4.411791,73.929718,193.0,0
4.458231,73.555298,231.0,0
4.504671,80.758667,224.0,0
4.551111,79.535721,234.0,0
4.597551,74.845322,203.0,0
4.643991,1576.107178,3728.0,0
4.690431,2409.584717,8297.0,0
4.736871,3350.699707,9205.0,0
4.783311,3323.769287,10013.0,0
4.829751,3140.863525,8779.0,0
4.876190,1529.023438,8029.0,0
4.922630,644.762695,1975.0,0
4.969070,285.862579,1057.0,0
5.015510,231.170013,758.0,0
5.061950,149.617920,490.0,0
5.108390,147.512405,505.0,0
5.154830,165.256531,444.0,0
5.201270,160.312027,477.0,0
5.247710,137.667480,427.0,0
5.294150,122.052963,350.0,0
5.340590,111.540672,339.0,0
5.387029,105.868958,296.0,0
5.433469,115.891731,346.0,0
5.479909,112.712418,412.0,0
5.526349,93.578888,279.0,0
5.572789,100.386070,307.0,0
5.619229,106.622635,304.0,0
5.665669,89.189102,220.0,0
5.712109,111.490013,291.0,0
5.758549,105.670135,293.0,0
5.804989,99.230125,285.0,0
5.851429,91.622536,238.0,0
5.897868,100.411591,339.0,0
5.944308,94.183769,264.0,0
5.990748,132.615570,359.0,0
6.037188,141.383911,361.0,0
6.083628,90.410225,292.0,0
6.130068,99.206398,295.0,0
6.176508,82.739380,234.0,0
6.222948,71.013611,206.0,0
6.269388,69.189056,193.0,0
6.315828,86.604568,278.0,0
6.362268,90.227974,255.0,0
6.408707,95.505280,264.0,0
6.455147,84.946709,237.0,0
6.501587,72.046402,189.0,0
6.548027,69.091721,197.0,0
6.594467,77.908379,233.0,0
6.640907,87.769852,263.0,0
6.687347,78.713860,264.0,0
6.733787,83.386711,250.0,0
6.780227,85.983566,253.0,0
6.826667,84.622215,230.0,0
6.873107,104.295242,268.0,0
6.919546,106.458107,343.0,0
6.965986,86.294601,323.0,0
7.012426,91.066139,325.0,0
7.058866,93.300926,289.0,0
7.105306,94.575668,273.0,0
7.151746,79.969025,284.0,0
7.198186,85.303627,234.0,0
7.244626,85.562347,245.0,0
7.291066,91.991814,259.0,0
7.337506,88.895905,259.0,0
7.383946,87.855392,278.0,0
7.430385,82.883858,268.0,0
7.476825,81.918365,238.0,0
7.523265,56.654987,178.0,0
7.569705,67.866196,180.0,0
7.616145,74.537346,286.0,0
7.662585,89.723892,289.0,0
7.709025,91.051193,259.0,0
7.755465,101.254684,328.0,0
7.801905,88.684090,285.0,0
7.848345,84.207924,250.0,0
7.894785,69.436455,245.0,0
7.941224,71.655968,209.0,0
7.987664,75.670250,184.0,0
8.034104,80.293472,251.0,0
8.080544,84.578903,224.0,0
