t_seconds,rms_linear,peak_abs,clip_flag
0.046440,73.902664,231.0,0
0.092880,90.905968,269.0,0
0.139320,75.308464,190.0,0
0.185760,51.743404,153.0,0
0.232200,74.337990,209.0,0
0.278639,72.386475,208.0,0
0.325079,72.777710,192.0,0
0.371519,57.822491,171.0,0
0.417959,67.448822,196.0,0
0.464399,46.047295,171.0,0
0.510839,59.289188,195.0,0
0.557279,59.362278,213.0,0
0.603719,58.876896,208.0,0
0.650159,54.635059,200.0,0
0.696599,61.100155,162.0,0
0.743039,56.909855,164.0,0
0.789478,50.565639,143.0,0
0.835918,54.100922,191.0,0
0.882358,65.813431,166.0,0
0.928798,57.348972,175.0,0
0.975238,54.399490,179.0,0
1.021678,82.919113,231.0,0
1.068118,50.241264,156.0,0
1.114558,63.624054,183.0,0
1.160998,51.646446,196.0,0
1.207438,65.641983,168.0,0
1.253878,66.315346,245.0,0
1.300317,78.168228,233.0,0
1.346757,52.996918,139.0,0
1.393197,50.932888,166.0,0
1.439637,69.170265,203.0,0
1.486077,62.445911,156.0,0
1.532517,72.507996,172.0,0
1.578957,69.769516,181.0,0
1.625397,60.525421,184.0,0
1.671837,72.291962,220.0,0
1.718277,70.937599,179.0,0
1.764717,73.177750,205.0,0
1.811156,67.515938,217.0,0
1.857596,60.709209,211.0,0
1.904036,49.075871,146.0,0
1.950476,72.590744,198.0,0
1.996916,66.713570,193.0,0
2.043356,117.279060,284.0,0
2.089796,152.319183,362.0,0
2.136236,98.622086,275.0,0
2.182676,66.574905,176.0,0
2.229116,82.163170,232.0,0
2.275556,87.355606,317.0,0
2.321995,99.668015,269.0,0
2.368435,91.088440,299.0,0
2.414875,47.978947,158.0,0
2.461315,54.686192,150.0,0
2.507755,88.524773,299.0,0
2.554195,132.451294,351.0,0
2.600635,103.860306,342.0,0
2.647075,69.189713,184.0,0
2.693515,78.359642,214.0,0
2.739955,90.208099,269.0,0
2.786395,121.092857,335.0,0
2.832834,102.896049,341.0,0
2.879274,79.296677,303.0,0
2.925714,92.277458,317.0,0
2.972154,161.626221,489.0,0
3.018594,188.612122,530.0,0
3.065034,132.614975,384.0,0
3.111474,111.617210,305.0,0
3.157914,76.786621,225.0,0
3.204354,126.370613,377.0,0
3.250794,182.871384,522.0,0
3.297234,203.417465,606.0,0
3.343673,174.437744,571.0,0
3.390113,107.808372,304.0,0
3.436553,118.022041,354.0,0
3.482993,95.336464,308.0,0
3.529433,79.182793,244.0,0
3.575873,50.942341,169.0,0
3.622313,67.175110,255.0,0
3.668753,54.688816,165.0,0
3.715193,60.204315,200.0,0
3.761633,69.188927,198.0,0
3.808073,53.574646,134.0,0
3.854512,63.605244,167.0,0
3.900952,73.520279,195.0,0
3.947392,60.147182,170.0,0
3.993832,65.103233,160.0,0
4.040272,107.219955,389.0,0
4.086712,161.029968,459.0,0
4.133152,134.737717,411.0,0
4.179592,101.378838,315.0,0
4.226032,107.125900,330.0,0
4.272472,108.677277,359.0,0
4.318912,87.545891,236.0,0
4.365351,158.098450,544.0,0
4.411791,171.456940,552.0,0
4.458231,190.608322,574.0,0
4.504671,119.016838,351.0,0
4.551111,85.328125,238.0,0
4.597551,71.041771,247.0,0
4.643991,88.926788,298.0,0
4.690431,67.595757,200.0,0
4.736871,191.255310,626.0,0
4.783311,202.704803,712.0,0
4.829751,96.084900,347.0,0
4.876190,122.128571,398.0,0
4.922630,215.236786,698.0,0
4.969070,156.261261,606.0,0
5.015510,115.424355,303.0,0
5.061950,111.252998,324.0,0
5.108390,78.800346,192.0,0
5.154830,89.591637,355.0,0
5.201270,181.832062,567.0,0
5.247710,275.991028,669.0,0
5.294150,263.391357,708.0,0
5.340590,173.124893,503.0,0
5.387029,149.257645,472.0,0
5.433469,98.250809,286.0,0
5.479909,92.634415,232.0,0
5.526349,91.991463,231.0,0
5.572789,69.442886,230.0,0
5.619229,62.311546,171.0,0
5.665669,84.379707,210.0,0
5.712109,59.148338,155.0,0
5.758549,74.644470,213.0,0
5.804989,127.084625,349.0,0
5.851429,128.990509,398.0,0
5.897868,72.385727,232.0,0
5.944308,97.681557,368.0,0
5.990748,176.164536,490.0,0
6.037188,189.032410,515.0,0
6.083628,196.184631,602.0,0
6.130068,122.243561,406.0,0
6.176508,66.734261,182.0,0
6.222948,53.978004,178.0,0
6.269388,69.984024,203.0,0
6.315828,54.601868,162.0,0
6.362268,51.712696,151.0,0
6.408707,79.055817,230.0,0
6.455147,55.426666,159.0,0
6.501587,61.453079,208.0,0
6.548027,59.942005,183.0,0
6.594467,61.563915,186.0,0
6.640907,58.611462,150.0,0
6.687347,43.378147,116.0,0
6.733787,47.716637,171.0,0
6.780227,52.077549,165.0,0
6.826667,43.005939,154.0,0
6.873107,60.100403,181.0,0
6.919546,57.411198,190.0,0
6.965986,53.222668,168.0,0
7.012426,45.638580,188.0,0
7.058866,48.317921,160.0,0
7.105306,56.495735,190.0,0
7.151746,50.960209,159.0,0
7.198186,49.122204,133.0,0
7.244626,55.720169,186.0,0
7.291066,57.990414,158.0,0
7.337506,62.865391,180.0,0
7.383946,53.262924,160.0,0
7.430385,51.393902,143.0,0
7.476825,60.299282,186.0,0
7.523265,56.777596,189.0,0
7.569705,57.983475,205.0,0
7.616145,59.991917,177.0,0
7.662585,75.277321,188.0,0
7.709025,62.594376,180.0,0
7.755465,58.043545,173.0,0
7.801905,56.254463,181.0,0
7.848345,65.218391,205.0,0
7.894785,51.141994,162.0,0
7.941224,58.438778,184.0,0
7.987664,63.269417,173.0,0
8.034104,50.095272,144.0,0
8.080544,63.238419,203.0,0
8.126984,73.515457,224.0,0
8.173424,138.894775,296.0,0
8.219864,276.554871,549.0,0
8.266304,304.474457,675.0,0
8.312744,354.229034,668.0,0
8.359184,271.286407,570.0,0
8.405624,308.829834,790.0,0
8.452063,329.316467,829.0,0
8.498503,369.329468,774.0,0
8.544943,286.065552,602.0,0
8.591383,186.373734,472.0,0
8.637823,169.086746,373.0,0
8.684263,133.560394,331.0,0
8.730703,124.273506,312.0,0
8.777143,91.860809,295.0,0
8.823583,85.502441,221.0,0
8.870023,67.886971,182.0,0
8.916463,65.506256,176.0,0
8.962902,64.131660,212.0,0
9.009342,53.904072,144.0,0
9.055782,69.883705,178.0,0
9.102222,66.638237,180.0,0
9.148662,74.314316,184.0,0
9.195102,56.401604,183.0,0
9.241542,74.604195,233.0,0
9.287982,51.864136,162.0,0
9.334422,74.121925,205.0,0
9.380862,67.001320,166.0,0
9.427302,69.848251,195.0,0
9.473741,55.908310,153.0,0
9.520181,64.627411,161.0,0
9.566621,60.740578,147.0,0
9.613061,51.272392,148.0,0
9.659501,955.792908,3027.0,0
9.705941,1838.564575,6107.0,0
9.752381,2631.836426,8018.0,0
9.798821,2583.741699,6624.0,0
9.845261,2106.637939,5572.0,0
9.891701,1680.559448,5185.0,0
9.938141,646.800110,1694.0,0
9.984580,487.410522,1516.0,0
10.031020,208.016861,675.0,0
10.077460,147.443146,476.0,0
10.123900,158.801910,445.0,0
10.170340,128.915283,452.0,0
10.216780,131.197449,394.0,0
10.263220,105.906555,303.0,0
10.309660,94.498604,288.0,0
10.356100,96.652618,298.0,0
10.402540,73.992081,228.0,0
10.448980,62.951553,207.0,0
10.495420,63.460178,205.0,0
10.541859,63.240696,198.0,0
10.588299,47.961445,149.0,0
10.634739,59.497631,182.0,0
10.681179,56.065136,176.0,0
10.727619,57.985706,181.0,0
10.774059,55.206165,192.0,0
10.820499,52.915840,156.0,0
10.866939,44.767410,154.0,0
10.913379,52.855942,156.0,0
10.959819,61.836956,203.0,0
11.006259,55.178993,153.0,0
11.052698,46.623314,148.0,0
11.099138,56.932751,165.0,0
11.145578,60.766312,181.0,0
11.192018,51.258030,155.0,0
11.238458,49.248558,167.0,0
11.284898,68.126755,197.0,0
11.331338,60.726475,166.0,0
11.377778,45.500671,122.0,0
11.424218,48.519104,167.0,0
11.470658,51.243191,127.0,0
11.517098,64.231216,187.0,0
11.563537,53.154007,187.0,0
11.609977,49.441391,127.0,0
11.656417,53.267296,165.0,0
11.702857,54.836075,171.0,0
11.749297,44.741287,108.0,0
11.795737,45.973003,141.0,0
11.842177,65.583961,190.0,0
11.888617,42.390419,110.0,0
11.935057,51.251320,148.0,0
11.981497,53.176689,135.0,0
12.027937,46.157082,143.0,0
12.074376,47.222523,145.0,0
12.120816,45.154388,158.0,0
12.167256,55.734859,180.0,0
12.213696,57.291283,179.0,0
12.260136,48.713890,160.0,0
12.306576,49.607777,142.0,0
12.353016,60.111336,204.0,0
12.399456,50.986618,154.0,0
12.445896,48.481453,177.0,0
12.492336,54.590816,173.0,0
12.538776,49.224663,147.0,0
12.585215,62.082741,168.0,0
12.631655,50.646137,146.0,0
12.678095,55.550220,158.0,0
12.724535,58.416294,142.0,0
12.770975,47.503727,119.0,0
12.817415,57.159786,164.0,0
12.863855,51.838444,163.0,0
12.910295,43.193188,116.0,0
12.956735,55.433868,139.0,0
13.003175,49.168133,166.0,0
13.049615,49.013485,143.0,0
13.096054,51.427120,183.0,0
13.142494,46.622387,163.0,0
13.188934,38.977089,116.0,0
13.235374,52.892197,158.0,0
13.281814,51.496284,180.0,0
13.328254,71.471886,200.0,0
13.374694,55.567623,184.0,0
13.421134,63.921101,164.0,0
13.467574,53.268524,138.0,0
13.514014,62.831913,158.0,0
13.560454,55.182297,152.0,0
13.606893,52.663090,140.0,0
13.653333,50.461235,152.0,0
13.699773,57.482117,181.0,0
13.746213,55.694633,182.0,0
13.792653,67.720947,205.0,0
13.839093,47.830532,140.0,0
13.885533,67.975159,205.0,0
13.931973,60.877743,182.0,0
13.978413,48.474060,144.0,0
14.024853,54.646828,163.0,0
14.071293,64.713860,177.0,0
14.117732,56.366199,144.0,0
14.164172,55.956936,172.0,0
14.210612,53.032967,159.0,0
14.257052,73.415535,216.0,0
14.303492,65.739838,176.0,0
14.349932,55.642784,175.0,0
14.396372,56.684673,141.0,0
14.442812,51.961403,148.0,0
14.489252,58.231281,173.0,0
14.535692,47.397041,127.0,0
14.582132,56.064938,173.0,0
14.628571,45.671337,134.0,0
14.675011,52.245457,141.0,0
14.721451,55.035965,173.0,0
14.767891,57.008404,168.0,0
14.814331,58.381424,144.0,0
14.860771,44.909676,148.0,0
14.907211,55.700951,147.0,0
14.953651,59.776150,160.0,0
15.000091,40.780567,127.0,0
15.046531,73.431442,184.0,0
15.092971,54.409790,148.0,0
15.139410,63.402031,187.0,0
15.185850,45.985493,128.0,0
15.232290,47.547398,135.0,0
15.278730,55.529385,158.0,0
15.325170,64.010208,176.0,0
15.371610,45.509583,138.0,0
15.418050,45.009136,137.0,0
15.464490,46.503849,152.0,0
15.510930,61.435318,150.0,0
15.557370,49.180183,126.0,0
15.603810,42.994095,139.0,0
15.650249,50.587307,162.0,0
15.696689,45.376152,128.0,0
15.743129,56.205677,161.0,0
15.789569,51.997002,172.0,0
15.836009,49.448181,152.0,0
15.882449,47.359299,147.0,0
15.928889,50.611458,171.0,0
15.975329,54.434196,131.0,0
16.021769,61.657455,155.0,0
16.068209,50.213238,147.0,0
16.114649,57.994110,166.0,0
16.161088,49.481640,161.0,0
16.207528,43.171951,124.0,0
16.253968,43.476780,135.0,0
