t_seconds,rms_linear,peak_abs,clip_flag
0.046440,67.494728,152.0,0
0.092880,82.613564,196.0,0
0.139320,63.736080,149.0,0
0.185760,60.731941,174.0,0
0.232200,59.352718,161.0,0
0.278639,79.192833,186.0,0
0.325079,84.370827,195.0,0
0.371519,71.146736,207.0,0
0.417959,65.453613,164.0,0
0.464399,90.151207,212.0,0
0.510839,84.888733,212.0,0
0.557279,73.253502,162.0,0
0.603719,83.159920,194.0,0
0.650159,73.650475,195.0,0
0.696599,86.292259,222.0,0
0.743039,64.460487,151.0,0
0.789478,90.118240,220.0,0
0.835918,81.520386,209.0,0
0.882358,81.143135,243.0,0
0.928798,87.513977,220.0,0
0.975238,86.254951,229.0,0
1.021678,115.549004,268.0,0
1.068118,82.952576,206.0,0
1.114558,84.827095,236.0,0
1.160998,91.523186,239.0,0
1.207438,98.364380,246.0,0
1.253878,81.331451,184.0,0
1.300317,66.617630,200.0,0
1.346757,79.573547,226.0,0
1.393197,71.571434,162.0,0
1.439637,62.404915,178.0,0
1.486077,65.487564,158.0,0
1.532517,91.276237,249.0,0
1.578957,85.844627,244.0,0
1.625397,73.563553,167.0,0
1.671837,100.573738,256.0,0
1.718277,83.368332,209.0,0
1.764717,98.412308,278.0,0
1.811156,76.621437,167.0,0
1.857596,97.154198,280.0,0
1.904036,87.661324,197.0,0
1.950476,90.542480,199.0,0
1.996916,81.343880,216.0,0
2.043356,97.762062,261.0,0
2.089796,107.463547,250.0,0
2.136236,96.285088,255.0,0
2.182676,102.564896,281.0,0
2.229116,89.074966,236.0,0
2.275556,111.975357,250.0,0
2.321995,96.670837,301.0,0
2.368435,86.258873,259.0,0
2.414875,90.274086,242.0,0
2.461315,93.045807,227.0,0
2.507755,103.625427,277.0,0
2.554195,92.904251,228.0,0
2.600635,106.732719,274.0,0
2.647075,96.414703,229.0,0
2.693515,104.199852,296.0,0
2.739955,99.604736,274.0,0
2.786395,108.972610,256.0,0
2.832834,92.363052,193.0,0
2.879274,124.930054,292.0,0
2.925714,106.675575,242.0,0
2.972154,100.840965,212.0,0
3.018594,123.189888,292.0,0
3.065034,111.190193,222.0,0
3.111474,121.310852,305.0,0
3.157914,100.948822,217.0,0
3.204354,121.015800,308.0,0
3.250794,115.909981,269.0,0
3.297234,128.029755,299.0,0
3.343673,103.987541,270.0,0
3.390113,123.517952,267.0,0
3.436553,108.091759,250.0,0
3.482993,113.716713,277.0,0
3.529433,100.827637,221.0,0
3.575873,104.523163,223.0,0
3.622313,97.988152,281.0,0
3.668753,107.637383,313.0,0
3.715193,95.637016,212.0,0
3.761633,108.908623,259.0,0
3.808073,103.414299,258.0,0
3.854512,123.935654,277.0,0
3.900952,116.715790,292.0,0
3.947392,110.665733,268.0,0
3.993832,117.361824,254.0,0
4.040272,119.140923,233.0,0
4.086712,107.236969,225.0,0
4.133152,92.783569,225.0,0
4.179592,103.667183,248.0,0
4.226032,103.422066,247.0,0
4.272472,90.274796,205.0,0
4.318912,86.860237,191.0,0
4.365351,96.101234,215.0,0
4.411791,90.489784,222.0,0
4.458231,91.417587,202.0,0
4.504671,89.007919,209.0,0
4.551111,86.264778,207.0,0
4.597551,93.287926,224.0,0
4.643991,84.102264,198.0,0
4.690431,96.109009,232.0,0
4.736871,93.600754,229.0,0
4.783311,108.202026,239.0,0
4.829751,109.150253,273.0,0
4.876190,92.581490,196.0,0
4.922630,100.038635,225.0,0
4.969070,3197.526367,15626.0,0
5.015510,7742.806641,30981.0,0
5.061950,10116.328125,32750.0,0
5.108390,9654.539062,32707.0,0
5.154830,6220.567871,31540.0,0
5.201270,759.262451,2824.0,0
5.247710,373.007446,1098.0,0
5.294150,211.966080,674.0,0
5.340590,162.507721,479.0,0
5.387029,197.532928,587.0,0
5.433469,182.588531,469.0,0
5.479909,168.090439,498.0,0
5.526349,138.457855,386.0,0
5.572789,134.750137,396.0,0
5.619229,116.323021,424.0,0
5.665669,82.354561,236.0,0
5.712109,106.518562,322.0,0
5.758549,89.974442,259.0,0
5.804989,85.838173,271.0,0
5.851429,83.893059,257.0,0
5.897868,84.815796,227.0,0
5.944308,73.358658,198.0,0
5.990748,71.577438,236.0,0
6.037188,79.004997,214.0,0
6.083628,64.603706,210.0,0
6.130068,70.765434,184.0,0
6.176508,61.389210,185.0,0
6.222948,71.603455,206.0,0
6.269388,71.273331,184.0,0
6.315828,73.895424,198.0,0
6.362268,87.458839,192.0,0
6.408707,97.133331,202.0,0
6.455147,92.676804,210.0,0
6.501587,98.600304,275.0,0
6.548027,85.343246,201.0,0
6.594467,95.876038,218.0,0
6.640907,102.463287,249.0,0
6.687347,91.727211,233.0,0
6.733787,82.997398,181.0,0
6.780227,72.527611,195.0,0
6.826667,80.026489,206.0,0
6.873107,77.038689,199.0,0
6.919546,79.285904,203.0,0
6.965986,79.153328,208.0,0
7.012426,54.497944,136.0,0
7.058866,64.657417,143.0,0
7.105306,89.516891,206.0,0
7.151746,78.181824,197.0,0
7.198186,80.099152,191.0,0
7.244626,69.943909,187.0,0
7.291066,85.422729,189.0,0
7.337506,79.514297,198.0,0
7.383946,86.542313,241.0,0
7.430385,98.478317,211.0,0
7.476825,96.822296,221.0,0
7.523265,101.733047,249.0,0
7.569705,102.982742,259.0,0
7.616145,111.006317,224.0,0
7.662585,119.204681,259.0,0
7.709025,124.061203,249.0,0
7.755465,123.601509,266.0,0
7.801905,127.305107,282.0,0
7.848345,107.763870,232.0,0
7.894785,98.000511,193.0,0
7.941224,104.608986,244.0,0
7.987664,96.000893,239.0,0
8.034104,104.436035,226.0,0
8.080544,83.666656,234.0,0
8.126984,88.126373,228.0,0
8.173424,95.426796,253.0,0
8.219864,98.254539,218.0,0
8.266304,79.441528,203.0,0
8.312744,83.353035,208.0,0
8.359184,76.682785,184.0,0
8.405624,64.744415,168.0,0
8.452063,105.904945,261.0,0
8.498503,78.592400,204.0,0
8.544943,65.846794,167.0,0
8.591383,89.253838,251.0,0
8.637823,95.737900,253.0,0
8.684263,76.553093,214.0,0
8.730703,85.717178,205.0,0
8.777143,81.341858,230.0,0
8.823583,75.021507,173.0,0
8.870023,68.278534,186.0,0
8.916463,62.896198,164.0,0
8.962902,70.161217,208.0,0
9.009342,45.471661,120.0,0
9.055782,48.420143,154.0,0
9.102222,49.169285,124.0,0
9.148662,52.491516,139.0,0
9.195102,54.466206,145.0,0
9.241542,46.149529,139.0,0
9.287982,50.883450,132.0,0
9.334422,67.120827,165.0,0
9.380862,60.994030,151.0,0
